c alpha coal mu x0 hom homLow homHigh
10 0.5 1 0.01 22.2 8.41208e-05 8.1958e-05 8.63977e-05
10 0.5 1 0.1 22.2 5.85195e-05 5.68682e-05 6.01786e-05
10 0.5 1 0.001 26.2 6.8204e-05 6.6218e-05 7.03341e-05
10 0.5 1 0.01 26.2 6.33502e-05 6.15603e-05 6.52066e-05
10 0.5 1 0.1 26.2 4.32493e-05 4.18741e-05 4.46291e-05
10 0.5 1 0.001 31.9 5.15388e-05 4.97861e-05 5.32815e-05
10 0.5 1 0.01 31.9 4.69818e-05 4.53228e-05 4.87096e-05
10 0.5 1 0.1 31.9 3.09239e-05 2.97403e-05 3.22064e-05
10 0.5 1 0.001 38.4 4.07974e-05 3.92205e-05 4.25417e-05
10 0.5 1 0.01 38.4 3.67508e-05 3.52782e-05 3.82457e-05
10 0.5 1 0.1 38.4 2.3531e-05 2.25401e-05 2.44929e-05
10 0.5 1 0.001 55.2 2.72358e-05 2.59422e-05 2.84381e-05
10 0.5 1 0.01 55.2 2.4004e-05 2.27881e-05 2.52292e-05
10 0.5 1 0.1 55.2 1.4602e-05 1.3881e-05 1.53814e-05
10 0.5 1 0.001 66.2 1.982e-05 1.87669e-05 2.09751e-05
10 0.5 1 0.01 66.2 1.65904e-05 1.56769e-05 1.766e-05
10 0.5 1 0.1 66.2 9.50251e-06 8.90877e-06 1.0135e-05
10 0.5 1 0.001 79.5 1.38199e-05 1.29812e-05 1.47317e-05
10 0.5 1 0.01 79.5 1.12237e-05 1.04139e-05 1.2018e-05
10 0.5 1 0.1 79.5 6.45755e-06 5.95598e-06 6.95136e-06
10 0.5 1 0.001 95.4 1.52903e-05 1.43324e-05 1.61735e-05
10 0.5 1 0.01 95.4 1.14166e-05 1.06532e-05 1.2185e-05
10 0.5 1 0.1 95.4 6.24182e-06 5.7527e-06 6.73373e-06
10 0.5 1 0.001 114.5 1.08848e-05 1.01478e-05 1.16835e-05
10 0.5 1 0.01 114.5 7.65705e-06 7.04644e-06 8.31529e-06
10 0.5 1 0.1 114.5 3.72743e-06 3.37309e-06 4.11824e-06
10 0.5 1 0.001 137.4 7.47936e-06 6.85106e-06 8.0994e-06
10 0.5 1 0.01 137.4 4.96729e-06 4.43827e-06 5.49165e-06
10 0.5 1 0.1 137.4 2.37737e-06 2.0733e-06 2.68559e-06
10 0.5 1 0.001 164.8 7.28597e-06 6.70634e-06 7.89033e-06
10 0.5 1 0.01 164.8 4.4777e-06 3.98302e-06 4.95292e-06
10 0.5 1 0.1 164.8 2.01941e-06 1.74849e-06 2.2589e-06
10 0.5 1 0.001 197.8 6.50191e-06 5.94106e-06 7.09852e-06
10 0.5 1 0.01 197.8 3.79961e-06 3.33884e-06 4.25397e-06
10 0.5 1 0.1 197.8 1.57559e-06 1.36659e-06 1.81043e-06
10 0.5 1 0.001 237.4 5.25887e-06 4.7239e-06 5.75078e-06
10 0.5 1 0.01 237.4 2.52962e-06 2.14516e-06 2.92338e-06
10 0.5 1 0.1 237.4 9.16438e-07 7.4374e-07 1.07793e-06
10 1 1 0.001 0 0.00218557 0.0021742 0.00219706
10 1 1 0.01 0 0.00210934 0.00209808 0.00212081
10 1 1 0.1 0 0.00163918 0.00163086 0.00164838
10 1 1 0.001 46 0.000169773 0.000166538 0.000173009
10 1 1 0.01 46 0.000139215 0.000136693 0.000141821
10 1 1 0.1 46 5.4151e-05 5.29426e-05 5.55182e-05
10 1 1 0.001 15.4 0.000470114 0.000464729 0.000475349
10 1 1 0.01 15.4 0.000427733 0.000422698 0.000432432
10 1 1 0.1 15.4 0.000257904 0.000254524 0.000260972
10 1 1 0.001 18.5 0.000394973 0.000390142 0.000399894
10 1 1 0.01 18.5 0.000355957 0.000351055 0.000360438
10 1 1 0.1 18.5 0.000204178 0.000201159 0.000206833
10 1 1 0.001 22.2 0.000343969 0.000339829 0.000348539
10 1 1 0.01 22.2 0.000305199 0.000300922 0.000309462
10 1 1 0.1 22.2 0.000164268 0.000161813 0.000166557
10 1 1 0.001 26.2 0.000283816 0.000279915 0.000288217
10 1 1 0.01 26.2 0.00024777 0.000244044 0.00025135
10 1 1 0.1 26.2 0.000125331 0.000123193 0.000127359
10 1 1 0.001 31.9 0.000243871 0.000239939 0.000247918
10 1 1 0.01 31.9 0.000209551 0.000206011 0.000213178
10 1 1 0.1 31.9 9.82747e-05 9.6265e-05 0.000100113
10 1 1 0.001 38.4 0.000194656 0.000191151 0.000198195
10 1 1 0.01 38.4 0.000163244 0.000160411 0.000166417
10 1 1 0.1 38.4 7.05278e-05 6.89265e-05 7.20866e-05
10 1 1 0.001 55.2 0.000139418 0.000136509 0.000142204
10 1 1 0.01 55.2 0.000110312 0.000107992 0.000112765
10 1 1 0.1 55.2 3.77487e-05 3.65991e-05 3.87909e-05
10 1 1 0.001 66.2 0.000116143 0.000113686 0.000118719
10 1 1 0.01 66.2 8.94783e-05 8.73416e-05 9.15927e-05
10 1 1 0.1 66.2 2.81156e-05 2.71176e-05 2.89836e-05
10 1 1 0.001 79.5 9.62277e-05 9.37765e-05 9.87151e-05
10 1 1 0.01 79.5 7.06969e-05 6.88826e-05 7.2466e-05
10 1 1 0.1 79.5 1.97691e-05 1.90087e-05 2.05412e-05
10 1 1 0.001 95.4 8.05902e-05 7.83567e-05 8.27754e-05
10 1 1 0.01 95.4 5.71597e-05 5.54934e-05 5.88019e-05
10 1 1 0.1 95.4 1.34651e-05 1.28972e-05 1.40704e-05
10 1 1 0.001 114.5 6.38403e-05 6.18914e-05 6.58889e-05
10 1 1 0.01 114.5 4.32385e-05 4.17263e-05 4.46825e-05
10 1 1 0.1 114.5 8.93057e-06 8.46105e-06 9.44359e-06
10 1 1 0.001 137.4 5.05273e-05 4.87795e-05 5.22799e-05
10 1 1 0.01 137.4 3.21676e-05 3.09002e-05 3.34174e-05
10 1 1 0.1 137.4 5.41863e-06 5.0815e-06 5.76824e-06
10 1 1 0.001 164.8 4.25161e-05 4.09907e-05 4.41068e-05
10 1 1 0.01 164.8 2.59731e-05 2.48245e-05 2.70787e-05
10 1 1 0.1 164.8 4.08437e-06 3.77243e-06 4.41166e-06
10 1 1 0.001 197.8 3.87246e-05 3.72458e-05 4.01246e-05
10 1 1 0.01 197.8 2.19278e-05 2.10129e-05 2.29439e-05
10 1 1 0.1 197.8 2.81991e-06 2.58837e-06 3.06095e-06
10 1 1 0.001 237.4 3.14837e-05 3.01388e-05 3.27918e-05
10 1 1 0.01 237.4 1.66164e-05 1.58445e-05 1.74723e-05
10 1 1 0.1 237.4 1.46699e-06 1.29323e-06 1.62231e-06
10 1.25 1 0.001 0 0.00231396 0.00230184 0.00232611
10 1.25 1 0.01 0 0.00216538 0.00215479 0.00217763
10 1.25 1 0.1 0 0.00158179 0.0015727 0.0015913
10 1.25 1 0.001 46 0.000322484 0.000318226 0.000326859
10 1.25 1 0.01 46 0.000230205 0.000226899 0.000233629
10 1.25 1 0.1 46 6.91095e-05 6.76305e-05 7.0486e-05
10 1.25 1 0.001 15.4 0.000762179 0.000755288 0.000769023
10 1.25 1 0.01 15.4 0.000647312 0.000640915 0.000653479
10 1.25 1 0.1 15.4 0.000344676 0.000341105 0.000348354
10 1.25 1 0.001 18.5 0.000669037 0.000662748 0.000675168
10 1.25 1 0.01 18.5 0.000556834 0.000551581 0.000562544
10 1.25 1 0.1 18.5 0.000276946 0.000273685 0.000280638
10 1.25 1 0.001 22.2 0.000596175 0.000589595 0.00060158
10 1.25 1 0.01 22.2 0.000484284 0.000479252 0.000489324
10 1.25 1 0.1 22.2 0.000226338 0.000223306 0.000229237
10 1.25 1 0.001 26.2 0.000516551 0.000511451 0.000522084
10 1.25 1 0.01 26.2 0.000410735 0.000406195 0.000415414
10 1.25 1 0.1 26.2 0.000175667 0.000173195 0.000178174
10 1.25 1 0.001 31.9 0.000445716 0.000440463 0.000450809
10 1.25 1 0.01 31.9 0.00034303 0.000338719 0.000347085
10 1.25 1 0.1 31.9 0.000129891 0.000127921 0.000131904
10 1.25 1 0.001 38.4 0.000382398 0.000377771 0.000387235
10 1.25 1 0.01 38.4 0.00028407 0.000280134 0.000287757
10 1.25 1 0.1 38.4 9.78842e-05 9.61708e-05 9.9792e-05
10 1.25 1 0.001 55.2 0.000280417 0.000276488 0.000284728
10 1.25 1 0.01 55.2 0.000191449 0.000188384 0.000194724
10 1.25 1 0.1 55.2 4.85332e-05 4.73302e-05 4.9616e-05
10 1.25 1 0.001 66.2 0.000234814 0.000231019 0.000238783
10 1.25 1 0.01 66.2 0.000151489 0.000148619 0.000154132
10 1.25 1 0.1 66.2 3.37544e-05 3.28242e-05 3.47442e-05
10 1.25 1 0.001 79.5 0.000204913 0.000201482 0.000208449
10 1.25 1 0.01 79.5 0.000126956 0.000124584 0.00012972
10 1.25 1 0.1 79.5 2.36377e-05 2.29309e-05 2.44062e-05
10 1.25 1 0.001 95.4 0.000183525 0.000180173 0.00018648
10 1.25 1 0.01 95.4 0.000104536 0.000102411 0.000106693
10 1.25 1 0.1 95.4 1.60617e-05 1.54748e-05 1.66691e-05
10 1.25 1 0.001 114.5 0.000145813 0.000142964 0.000148745
10 1.25 1 0.01 114.5 7.81872e-05 7.6518e-05 7.99022e-05
10 1.25 1 0.1 114.5 9.40525e-06 9.00581e-06 9.82852e-06
10 1.25 1 0.001 137.4 0.000127487 0.000124905 0.000130217
10 1.25 1 0.01 137.4 6.14747e-05 5.9837e-05 6.30545e-05
10 1.25 1 0.1 137.4 5.53869e-06 5.22375e-06 5.87509e-06
10 1.25 1 0.001 164.8 0.000108845 0.000106263 0.000111355
10 1.25 1 0.01 164.8 4.86127e-05 4.72803e-05 4.99152e-05
10 1.25 1 0.1 164.8 4.09785e-06 3.82959e-06 4.40227e-06
10 1.25 1 0.001 197.8 8.53405e-05 8.3191e-05 8.73517e-05
10 1.25 1 0.01 197.8 3.36459e-05 3.254e-05 3.47128e-05
10 1.25 1 0.1 197.8 1.88326e-06 1.71332e-06 2.06647e-06
10 1.25 1 0.001 237.4 7.23998e-05 7.03951e-05 7.42217e-05
10 1.25 1 0.01 237.4 2.59241e-05 2.50282e-05 2.68901e-05
10 1.25 1 0.1 237.4 1.23762e-06 1.0933e-06 1.37757e-06
10 1.5 1 0.001 0 0.00268599 0.00267377 0.00269873
10 1.5 1 0.01 0 0.00237164 0.00236011 0.0023845
10 1.5 1 0.1 0 0.00161024 0.00160147 0.00161905
10 1.5 1 0.001 46 0.000613094 0.000607325 0.000618853
10 1.5 1 0.01 46 0.000369624 0.000365518 0.000373956
10 1.5 1 0.1 46 8.68242e-05 8.52276e-05 8.85082e-05
10 1.5 1 0.001 15.4 0.00120526 0.0011965 0.0012137
10 1.5 1 0.01 15.4 0.00092012 0.000913146 0.00092728
10 1.5 1 0.1 15.4 0.000429909 0.000425701 0.000433732
10 1.5 1 0.001 18.5 0.00109941 0.00109138 0.00110719
10 1.5 1 0.01 18.5 0.000816708 0.000809859 0.000823131
10 1.5 1 0.1 18.5 0.000354094 0.000350185 0.00035757
10 1.5 1 0.001 22.2 0.000991838 0.000984099 0.000999175
10 1.5 1 0.01 22.2 0.000717592 0.000711229 0.000723768
10 1.5 1 0.1 22.2 0.000288356 0.000285095 0.000291546
10 1.5 1 0.001 26.2 0.000902949 0.000895397 0.000910613
10 1.5 1 0.01 26.2 0.000630229 0.000624663 0.000635549
10 1.5 1 0.1 26.2 0.00022733 0.000224602 0.000230253
10 1.5 1 0.001 31.9 0.000781629 0.000774355 0.000788157
10 1.5 1 0.01 31.9 0.000519717 0.000514597 0.00052512
10 1.5 1 0.1 31.9 0.000163707 0.000161199 0.000166216
10 1.5 1 0.001 38.4 0.000702003 0.000695814 0.000708145
10 1.5 1 0.01 38.4 0.000444975 0.000440053 0.000449821
10 1.5 1 0.1 38.4 0.00012107 0.000119061 0.000122967
10 1.5 1 0.001 55.2 0.000542222 0.000536491 0.000548093
10 1.5 1 0.01 55.2 0.000306075 0.000302378 0.000309651
10 1.5 1 0.1 55.2 5.91511e-05 5.77904e-05 6.04023e-05
10 1.5 1 0.001 66.2 0.000473962 0.000468363 0.000478779
10 1.5 1 0.01 66.2 0.000245328 0.000241749 0.000248313
10 1.5 1 0.1 66.2 3.77223e-05 3.67518e-05 3.86504e-05
10 1.5 1 0.001 79.5 0.000412433 0.000407765 0.000417081
10 1.5 1 0.01 79.5 0.000198029 0.000195276 0.000200839
10 1.5 1 0.1 79.5 2.45757e-05 2.38359e-05 2.53414e-05
10 1.5 1 0.001 95.4 0.000355017 0.000351021 0.000359277
10 1.5 1 0.01 95.4 0.000153714 0.000151418 0.000156017
10 1.5 1 0.1 95.4 1.40812e-05 1.36123e-05 1.45654e-05
10 1.5 1 0.001 114.5 0.000312823 0.000308419 0.000317243
10 1.5 1 0.01 114.5 0.000122256 0.000120177 0.000124294
10 1.5 1 0.1 114.5 8.47699e-06 8.11149e-06 8.86639e-06
10 1.5 1 0.001 137.4 0.000260104 0.000256433 0.000263895
10 1.5 1 0.01 137.4 9.09512e-05 8.91547e-05 9.27332e-05
10 1.5 1 0.1 137.4 5.10763e-06 4.82394e-06 5.39317e-06
10 1.5 1 0.001 164.8 0.000214057 0.000210759 0.000217196
10 1.5 1 0.01 164.8 6.39894e-05 6.24651e-05 6.54064e-05
10 1.5 1 0.1 164.8 2.39107e-06 2.20664e-06 2.56439e-06
10 1.5 1 0.001 197.8 0.000186236 0.000183338 0.000189367
10 1.5 1 0.01 197.8 4.67475e-05 4.55656e-05 4.79127e-05
10 1.5 1 0.1 197.8 1.11367e-06 9.89423e-07 1.23498e-06
10 1.5 1 0.001 237.4 0.000149146 0.000146294 0.000151853
10 1.5 1 0.01 237.4 3.0942e-05 3.00272e-05 3.17716e-05
10 1.5 1 0.1 237.4 4.86069e-07 4.03954e-07 5.64706e-07
