alpha coal mu x0 cdf cdfLow cdfHigh
1.65 0.01 33.1155 0 0.00453421 0.00446052 0.00460813
1.65 0.01 54.5982 0 0.00577668 0.00569026 0.00586137
1.65 0.01 90.0171 0 0.00729219 0.00719303 0.00739381
1.65 0.01 148.413 0 0.00906413 0.00894698 0.00918582
1.65 0.01 244.692 0 0.0113097 0.0111711 0.0114517
1.65 0.01 403.429 0 0.0138881 0.0137292 0.014048
1.65 0.01 665.142 0 0.0168476 0.0166602 0.0170326
1.65 0.01 1096.63 0 0.0209753 0.0207606 0.0211977
1.65 0.01 1808.04 0 0.0258917 0.0256414 0.026159
1.65 0.01 2980.96 0 0.0317325 0.0314264 0.0320446
1.65 0.01 4914.77 0 0.0386112 0.0382573 0.0389648
1.65 0.01 8103.08 0 0.0468075 0.0463873 0.0472252
1.65 0.01 13359.7 0 0.0567473 0.0562455 0.0572438
1.65 0.01 22026.5 0 0.0685084 0.0679392 0.0690978
1.65 0.01 36315.5 0 0.0825174 0.081827 0.0832156
1.65 0.01 59874.1 0 0.0987082 0.0978795 0.0995159
1.65 0.01 98715.8 0 0.118345 0.117387 0.119303
1.65 0.01 162755 0 0.141068 0.139929 0.142162
1.65 0.01 268337 0 0.167046 0.165756 0.168315
1.65 0.01 442413 0 0.196721 0.195288 0.198138
1.65 0.01 729416 0 0.231144 0.229529 0.232831
1.65 0.01 1.2026e+06 0 0.269394 0.26756 0.27127
1.65 0.1 1 0 0 0 0
1.65 0.1 1.64872 0 0.00559556 0.00536717 0.00581443
1.65 0.1 2.71828 0 0.00889003 0.00860136 0.00918095
1.65 0.1 4.48169 0 0.0136896 0.01333 0.0140488
1.65 0.1 7.38906 0 0.0186507 0.0182321 0.0190847
1.65 0.1 12.1825 0 0.0250735 0.0245804 0.0255576
1.65 0.1 20.0855 0 0.0327641 0.0321645 0.0333303
1.65 0.1 33.1155 0 0.0420907 0.0414125 0.0427693
1.65 0.1 54.5982 0 0.0531756 0.0523999 0.053933
1.65 0.1 90.0171 0 0.0663801 0.0654909 0.0672594
1.65 0.1 148.413 0 0.0814395 0.0804535 0.0824752
1.65 0.1 244.692 0 0.099982 0.0988431 0.101118
1.65 0.1 403.429 0 0.120723 0.119441 0.121992
1.65 0.1 665.142 0 0.14358 0.142165 0.145042
1.65 0.1 1096.63 0 0.174089 0.172471 0.175735
1.65 0.1 1808.04 0 0.208202 0.206428 0.210045
1.65 0.1 2980.96 0 0.245792 0.243811 0.247821
1.65 0.1 4914.77 0 0.287122 0.284924 0.289308
1.65 0.1 8103.08 0 0.331752 0.329373 0.334102
1.65 0.1 13359.7 0 0.380152 0.377566 0.382725
1.65 0.1 22026.5 0 0.430228 0.427542 0.432952
1.65 0.1 36315.5 0 0.481972 0.479128 0.484875
1.65 0.1 59874.1 0 0.533445 0.530483 0.536432
1.65 0.1 98715.8 0 0.585514 0.582486 0.588558
1.65 0.1 162755 0 0.635938 0.632951 0.638975
1.65 0.1 268337 0 0.683193 0.68027 0.686163
1.65 0.1 442413 0 0.726812 0.723852 0.729677
1.65 0.1 729416 0 0.767158 0.764365 0.769891
1.65 0.1 1.2026e+06 0 0.801404 0.798708 0.80412
1.65 1 1 0 0 0 0
1.65 1 2.71828 0 0.0576946 0.0558316 0.0595212
1.65 1 7.38906 0 0.116074 0.113544 0.118552
1.65 1 20.0855 0 0.189821 0.186728 0.192986
1.65 1 54.5982 0 0.283784 0.280212 0.28738
1.65 1 148.413 0 0.386765 0.382788 0.390724
1.65 1 403.429 0 0.499871 0.495918 0.504002
1.65 1 1096.63 0 0.610267 0.606243 0.614264
1.65 1 2980.96 0 0.709883 0.706097 0.713621
1.65 1 8103.08 0 0.791414 0.788094 0.794811
1.65 1 22026.5 0 0.850928 0.847979 0.853919
1.65 1 59874.1 0 0.89475 0.892154 0.897329
1.65 1 162755 0 0.927678 0.925482 0.929877
1.65 1 442413 0 0.950329 0.94846 0.952158
1.65 1 1.2026e+06 0 0.965927 0.964383 0.967444
1.85 0.01 1 0 0 0 0
1.85 0.01 1.64872 0 0.000578105 0.000555219 0.00060099
1.85 0.01 2.71828 0 0.000990641 0.00095881 0.00102142
1.85 0.01 4.48169 0 0.00156282 0.00152318 0.00160262
1.85 0.01 7.38906 0 0.00219708 0.00214956 0.00224359
1.85 0.01 12.1825 0 0.00304171 0.0029859 0.00309786
1.85 0.01 20.0855 0 0.0040751 0.00400698 0.00414389
1.85 0.01 33.1155 0 0.00530751 0.00522747 0.00538797
1.85 0.01 54.5982 0 0.00689347 0.00680043 0.00698952
1.85 0.01 90.0171 0 0.00899144 0.00887794 0.0091019
1.85 0.01 148.413 0 0.0115183 0.0113819 0.0116551
