alpha distance scale_parameter trial time pos_1 pos_2
2 10 10 41 7 -7.40897 -7.40897
2 10 10 42 20 -1.8616 -1.8616
2 10 10 43 1 -8.99613 -8.99613
2 10 10 44 159 9.47097 9.47097
2 10 10 45 15 1.05515 1.05515
2 10 10 46 6 -15.9237 -15.9237
2 10 10 47 12 -15.78 -15.78
2 10 10 48 2 -0.97711 -0.97711
2 10 10 49 157 13.2437 13.2437
0.5 1000 0.005 26 202 987.604 987.604
0.5 1000 0.01 4 678 -1927.2 -1927.2
0.5 1000 0.01 43 713 -283.093 -283.093
0.5 1000 10 35 242 -14344.3 -14344.3
0.5 1000 10 43 3 999.196 999.196
1.5 1000 10 0 2481 -1576.89 -1576.89
1.5 1000 10 2 17286 5319.94 5319.94
1.5 1000 10 3 1862 527.169 527.169
1.5 1000 10 4 9327 17.6871 17.6871
1.5 1000 10 5 83189 2762.51 2762.51
1.5 1000 10 7 38056 -669.636 -669.636
1.5 1000 10 9 229292 -4436.36 -4436.36
1.5 1000 10 10 61723 1079.44 1079.44
1.5 1000 10 11 12387 5110.3 5110.3
1.5 1000 10 12 132048 20739 20739
1.5 1000 10 13 19354 3006.57 3006.57
1.5 1000 10 15 1951 5.53753 5.53753
1.5 1000 10 16 27346 -5636.14 -5636.14
1.5 1000 10 17 12896 -269.277 -269.277
1.5 1000 10 18 495783 7055.77 7055.77
1.5 1000 10 19 6799 613.39 613.39
1.5 1000 10 20 2195 -1046.02 -1046.02
1.5 1000 10 21 510154 -30161.2 -30161.2
1.5 1000 10 22 21823 -1750.84 -1750.84
1.5 1000 10 23 2087 -1593.41 -1593.41
1.5 1000 10 25 603551 -58195.5 -58195.5
1.5 1000 10 26 925 430.413 430.413
1.5 1000 10 27 1208 1882.4 1882.4
1.5 1000 10 28 8705 -1374.77 -1374.77
1.5 1000 10 29 3143 -966.691 -966.691
1.5 1000 10 30 6899 -1657.83 -1657.83
1.5 1000 10 31 747 691.485 691.485
1.5 1000 10 32 1227 -657.603 -657.603
1.5 1000 10 33 6171 -847.841 -847.841
1.5 1000 10 34 4681 507.972 507.972
1.5 1000 10 35 920766 36192.5 36192.5
1.5 1000 10 36 24425 870.716 870.716
