c alpha coal mu x0 hom homLow homHigh
10.0 1.25 1 0.01 22 0.000490992 0.000485739 0.000496157
10.0 1.25 1 0.1 22 0.000227463 0.00022451 0.000230335
10.0 1.25 1 0.001 26 0.000537323 0.000531546 0.000543429
10.0 1.25 1 0.01 26 0.000429931 0.000425213 0.000434511
10.0 1.25 1 0.1 26 0.000184142 0.000181642 0.000186868
10.0 1.25 1 0.001 32 0.000442922 0.000438282 0.000448611
10.0 1.25 1 0.01 32 0.000341663 0.000337399 0.000345633
10.0 1.25 1 0.1 32 0.000130722 0.000128611 0.000132821
10.0 1.25 1 0.001 38 0.000393869 0.000389212 0.000398926
10.0 1.25 1 0.01 38 0.000295538 0.000291877 0.000299407
10.0 1.25 1 0.1 38 0.000102 0.000100113 0.000103889
10.0 1.25 1 0.001 46 0.000322484 0.00031806 0.000326988
10.0 1.25 1 0.01 46 0.000230205 0.000227025 0.000233674
10.0 1.25 1 0.1 46 6.91095e-05 6.76985e-05 7.05449e-05
10.0 1.25 1 0.001 55 0.00027977 0.000275529 0.0002838
10.0 1.25 1 0.01 55 0.000191491 0.000188401 0.000194315
10.0 1.25 1 0.1 55 4.97138e-05 4.85861e-05 5.08593e-05
10.0 1.25 1 0.001 66 0.000247996 0.000244526 0.000251579
10.0 1.25 1 0.01 66 0.000160362 0.000157429 0.000163169
10.0 1.25 1 0.1 66 3.55905e-05 3.46221e-05 3.65108e-05
10.0 1.25 1 0.001 80 0.000201384 0.000198147 0.000204573
10.0 1.25 1 0.01 80 0.000123491 0.000121198 0.000125924
10.0 1.25 1 0.1 80 2.2634e-05 2.18669e-05 2.32726e-05
10.0 1.25 1 0.001 95 0.000176608 0.000173708 0.000179836
10.0 1.25 1 0.01 95 0.000102055 9.99068e-05 0.000104251
10.0 1.25 1 0.1 95 1.58751e-05 1.53381e-05 1.64431e-05
10.0 1.25 1 0.001 115 0.000150775 0.000147836 0.000153642
10.0 1.25 1 0.01 115 7.89077e-05 7.73047e-05 8.08831e-05
10.0 1.25 1 0.1 115 9.8544e-06 9.39629e-06 1.02643e-05
10.0 1.25 1 0.001 137 0.000124008 0.000121387 0.000126428
10.0 1.25 1 0.01 137 5.94151e-05 5.7988e-05 6.10273e-05
10.0 1.25 1 0.1 137 5.62828e-06 5.29369e-06 5.946e-06
10.0 1.25 1 0.001 165 0.000110115 0.000107583 0.000112628
